upid,Gene,Number of peptides,Confidence score,Protein molecular weight,GLC_BATCH_mu=0.6_NEW,FUM_BATCH_mu=0.55_NEW,PERSIST@8H_mu=0.02_NEW,STARVED@8H_mu=-0.005_NEW
P0AAG3,gltL,2,141.96,26625.89416,153.0348367218,159.4359879204,88.752582805,103.1266438514
P21345,gltP,3,144.59,47110.8219900001,95.7433934349,31.4735498331,57.2985122453,22.3312172304
P04805,gltX,29,2000.42,53763.7895800001,1863.811474376,1480.9483947943,1545.0257506836,1525.431564079
P0A825,glyA,33,2952.31,45269.9625100001,9806.1087493535,8002.2570060891,6078.6769010109,6249.1167762824
P00960,glyQ,12,769.78,34734.16,1117.4765299699,973.6244635583,1035.953435324,1048.4856908232
P00961,glyS,49,3976.6,76746.9657800002,1871.8762151852,1798.0240668095,1927.3113321736,1989.2709317029
P63224,gmhA,12,741.46,20783.61786,1360.8166842841,1846.0229642779,1097.3401851924,1742.3616548466
P63228,gmhB,5,319.59,21262.52226,507.1645706247,466.0155953721,382.5916944884,473.8631328905
P60546,gmk ,8,574.25,23560.01565,596.968730118,378.3098005771,709.7816385488,388.6757718591
P77334,gmr ,1,43.91,74600.5055800003,1.0902278764,0.065584016,5.2420040915,4.9732230137
P00350,gnd ,33,2967.63,51431.30094,5520.6847202118,3274.5355850998,4898.41822325,3661.9827483908
P0AC92,gnsA,4,278,6553.42733,406.9497552889,239.6404311759,421.6173502458,252.2720540386
P77695,gnsB,4,369.58,6525.5481,1878.0698139628,1688.3935579532,2706.8425111882,2309.4567356641
P0ACP5,gntR,3,155.87,36380.82496,71.483472008,88.3339924317,130.4557622967,147.4672046861
P39835,gntT,2,58.7,45917.8507600001,29.6372788452,5.1206346232,57.3955004736,22.7844186925
P06715,gor ,18,1146.48,48723.6315300001,758.8942809661,670.5406375347,689.4689479835,728.4936599141
P32662,gph ,4,232.47,27353.99481,410.5434980993,350.897316736,153.1738859006,275.5367151475
P62707,gpmA,13,917.8,28520.74385,4527.6101087118,5207.7524629755,6917.6452467907,6053.4687362559
P0A7A2,gpmB,11,603.86,24032.25041,509.6636438165,717.9578502521,195.6024937004,508.8602911776
P37689,gpmI,18,1323.38,56140.2840600001,1469.110701721,460.3646039682,1375.6099389916,539.7980122328
P25552,gppA,10,539.36,54818.6041600001,133.2364811634,122.9047495917,52.5319785375,92.2038159692
P0A6S7,gpsA,11,671.05,36320.64479,438.4561572559,463.4790557744,634.5359411936,517.3446439314
P0A9M5,gpt ,7,655.07,16941.77839,1834.9586018097,1905.3731301973,1198.4690385245,1910.5642261062
P68066,grcA,8,411.33,14257.42275,454.0060802059,917.5755414915,229.2362933032,764.998579448
P0A6W5,greA,9,622.9,17612.06622,1520.8371474061,1618.3678576783,882.3826087702,1199.2255413565
P30128,greB,3,96.59,18497.54848,89.5052208124,141.3242977344,111.2533378029,48.9011046334
P0A6F5,groL,43,3997.66,57274.6748300001,8583.1351515691,10813.4627236473,10734.1169434941,13601.0835652206
P0A6F9,groS,7,386.04,10362.57251,5761.2536647759,8336.9729341443,7286.3053977647,10388.948798891
P09372,grpE,11,760.01,21766.1539,3408.4224356819,3332.8568528287,3683.7294124975,3571.6922838263
P68688,grxA,4,187.82,9660.76081,515.0372145203,602.6641440981,390.0968602022,416.0436288196
P0AC59,grxB,11,619.69,24316.69694,781.3191659014,915.336883175,1277.3932832573,945.8380905872
P0AC62,grxC,5,301.34,9113.62373,3851.8663590528,3002.4151123374,4753.9185615227,3240.1769923904
P0AC69,grxD,5,470.54,12852.46558,3874.0477804548,2890.8060984708,3087.4672726528,2009.2047987965
P0A6W9,gshA,12,681.77,58214.2673000001,390.5080560284,318.183594437,362.1801360728,307.3387449587
P04425,gshB,15,1028.59,35520.25741,876.3676896579,749.0857677516,699.6812540739,805.5457478018
P75796,gsiA,6,292.81,69052.4095700003,63.4353938197,66.5669647089,54.3621303413,56.3882292827
D9IX93,gsiB,13,737.39,56416.7328800001,393.7967846013,449.7018149597,521.3255347799,446.7284905247
P75798,gsiC,2,133.48,34026.18337,118.4019876426,111.142923067,111.6689635376,104.7638944725
P0AEW6,gsk ,7,267.2,48400.0814700001,192.9413372066,100.5349995126,97.5004329194,100.5520724792
P0AES0,gsp ,16,1039.35,70469.4003200002,409.7769544106,138.3528471585,321.3771039174,140.9703541314
P0A9D2,gst ,14,761.03,22835.83157,731.1538341975,979.6967945978,1122.8443593846,1030.2311735428
P04079,guaA,37,2738.5,58623.8648300001,2965.6216246559,1866.2422434481,1786.4484842873,1744.0127319536
P0ADG7,guaB,22,1631.99,51972.0116600001,2167.0964607626,1458.3008461552,1688.0085700308,1680.7348687353
P60560,guaC,16,1279.78,37341.7954,1679.4330552996,1679.9331620693,1120.2085781425,1625.0872521656
P0AES2,gudD,1,72.03,49091.5773700001,13.4859683246,10.0983438107,6.2557116749,18.4581319742
P17115,gutQ,5,208.61,33991.64548,107.9774999772,168.6772351495,95.2438564709,121.6394131131
P0AES4,gyrA,40,2403.41,96885.4029400005,1108.6934496619,924.5657705265,1013.4991961467,943.4205552947
P0AES6,gyrB,33,2161.96,89875.8785200003,933.9826170945,761.6619824041,1045.0776051663,846.6011907357
P33012,gyrI,2,94.89,18051.78217,86.291962555,131.2942664812,944.6706399297,251.4602261067
P31658,hchA,16,938.83,31152.59493,582.9719990142,871.4178171623,6818.5055787053,2401.8143712607
P0AES9,hdeA,2,213.28,11832.1397,4922.564172383,5374.0649271096,26993.0611752015,6282.5754841775
P0AET2,hdeB,3,146.24,12016.98866,421.1027790142,486.2285536917,4178.7964788829,583.9685841447
P0A8R9,hdfR,3,140.84,31708.40875,89.9469223359,66.0020117498,86.9830103321,80.0896867697
P0AET8,hdhA,7,380.85,26743.57852,340.5151847929,442.2412921407,480.9964449723,416.7719318847
P15038,helD,13,573.71,77909.4908600003,81.3326435893,73.6903418609,74.4090741141,87.9803373169
P0ACB2,hemB,17,852.96,35583.87097,643.2035364386,733.6689259016,626.2555174694,817.4496884582
P06983,hemC,10,460.23,33812.80201,405.7923974076,395.7842724195,541.9723344761,466.772994108
P09126,hemD,2,82.75,27762.46373,38.4946321417,68.3429702016,61.5782661189,106.9547564752
P29680,hemE,11,480.6,39204.89119,485.3637668772,428.0130704663,367.7915101801,369.6266222665
P0ACB4,hemG,5,211.53,21194.86359,168.8664982822,155.1082627173,151.5518908566,140.3609194214
P23871,hemH,3,98.25,35843.27231,27.5084100095,36.2820842465,58.7027761748,40.0069067447
P23893,hemL,18,1066.34,45318.36911,1680.39288838,1409.2575400612,1325.0674071752,1529.467723806
P32131,hemN,4,269.19,52677.6732200001,89.4373075282,74.1567256818,46.9501845723,64.2307973915
P09127,hemX,15,839.84,42918.90191,584.9030725246,665.2339207891,577.992836778,680.7688847502
P0ACB7,hemY,7,462.58,45198.8272000001,203.7672347922,284.1711935561,200.265805807,249.2781175615
P46118,hexR,4,202.55,31937.35128,82.4075016878,178.3792337479,76.2918004374,173.9823795631
P0ABC3,hflC,16,1002.86,37608.49134,850.5472620633,888.2618117627,1220.647800188,936.0141484651
P25746,hflD,7,515.94,22915.1599,321.1487946109,241.5279094094,329.499994219,365.8156819112
P0ABC7,hflK,17,1176.72,45499.0795100001,1216.2972116581,1138.9942940173,1554.0043103254,1279.8027556569
P25519,hflX,15,1013.97,48279.34506,337.0356714611,319.2788653097,287.4380895137,313.8821936937
P0ACE3,hha ,2,99.71,8604.45853,271.9066305312,253.8979564979,96.8773761093,60.9986165397
P0ACE7,hinT,4,275.15,13214.88763,1213.5494343238,1236.19416463,1098.5437106372,1457.9779715464
P23874,hipA,1,53.54,49226.7174400001,3.1051013485,3.5765703553,2.7852914031,4.1976782029
P10371,hisA,14,1041.35,25998.573,956.3774326659,705.6360316906,720.069169138,565.2251173128
P06987,hisB,17,1320.05,40234.2579700001,1481.4330115476,989.2389041415,1616.0814424451,980.4912049538
P06986,hisC,15,1037.06,39317.2863400001,1699.889167889,1102.904500396,1128.1576711294,926.3354842351
P06988,hisD,13,840.05,46063.6169500001,1644.2724522351,1106.9709250621,1255.6095119571,993.6908803062
P60664,hisF,10,972.92,28418.56168,971.8435764599,672.865152245,830.4536159887,569.4441791845
P60757,hisG,18,1120.28,33327.35988,1558.3008192196,943.6369173122,500.092552878,709.4147205831
P60595,hisH,8,621.16,21620.82603,905.1767227798,799.2465072568,784.887187622,612.3719621784
P06989,hisI,5,356.69,22723.48932,1563.2847431544,994.8266181147,1866.3111500094,985.9601501447
P0AEU0,hisJ,17,1446.37,28447.63566,4111.4872772665,3616.4200924144,5158.6624654122,3398.4125011339
P0AEU3,hisM,1,49.44,26834.42819,25.7521163995,33.5360270706,27.2033116102,29.3863517904
P07109,hisP,9,637.15,28617.07416,449.6413880288,427.5266213734,508.1261090171,454.4210630927
P52094,hisQ,3,177.88,24615.27278,132.3345673765,106.1989786533,208.1801129352,140.913114058
P60906,hisS,22,1334.91,46982.0102800001,1184.1840184974,958.4966452691,1063.248721515,958.6274396515
P76341,hiuH,1,69.78,15432.0562,118.2264858986,234.0233499149,54.3383445083,176.0672583062
P67910,hldD,20,1414.23,34853.12923,1293.3028973781,1275.2712252098,1749.5735106294,1475.1939023005
P76658,hldE,18,1000.22,51000.7071700001,715.210991071,733.0938565205,844.6487446198,792.9833414545
P24232,hmp ,7,350.57,43822.01281,179.8367969592,228.3263888266,65.2941954232,72.3545190783
P0AEV1,hnr ,3,123.12,37260.5008200001,57.4115152009,93.454878773,83.8196208283,82.4749283386
P0ACF8,hns ,9,980.81,15512.02414,10496.2806926405,12757.4224409515,16167.0241891436,14778.2544555839
P28631,holB,2,147.15,36895.11788,19.383636913,20.9360420666,11.1245970189,23.7908617547
P0A9M2,hpt ,9,596.78,20084.39054,773.6178251808,481.1364630155,571.4061399554,478.4277745818
P43329,hrpA,13,626.08,148917.16937,74.7039600019,60.85140145,77.9008601681,50.768565998
P37024,hrpB,1,38.65,89073.9373200003,9.1391946474,6.3549202779,8.7563213138,5.5288119333
P0A6Z1,hscA,16,1034.49,65594.0187000002,625.1273987779,428.9200487503,257.9858506168,325.4477717277
P0A6L9,hscB,3,280.31,20107.15818,380.6516735322,230.9565735249,213.4048467085,240.748813917
P08957,hsdM,13,652.1,59251.5028500002,219.0720202926,159.7165282216,119.4129132291,95.4884500838
P08956,hsdR,5,223.5,133993.580450001,16.7179723847,36.6749918116,9.9410030783,8.1426506954
P05719,hsdS,5,219.28,51345.4136700001,52.5911066398,40.1468572383,111.1100674122,40.0820188438
P52644,hslJ,2,121.15,15137.58295,110.6009069026,74.1273055082,205.6788607718,105.5367786356
P0A6Y5,hslO,9,709.43,32495.88996,1120.3271068736,1016.5509660584,1046.6101768069,970.7577996095
P0ACG8,hslR,1,96.63,15468.26447,59.4238129598,38.8021179262,126.260503456,29.0464202881
P0A6H5,hslU,25,1357.47,49544.8437700001,1163.9434431017,1295.3114538564,1210.4931743061,1333.0961950284
P0A7B8,hslV,3,142.42,19062.96341,317.1581925038,225.401100315,420.0635830442,382.5314898314
P0AB20,hspQ,1,54.44,11753.87245,65.2804899659,66.7395488531,212.2819536461,171.8278016021
P0A6Z3,htpG,31,2000.89,71360.3389400002,1441.430665007,1507.7273136498,1384.4296047958,1732.4817321584
P23894,htpX,2,74.42,31884.55363,158.6271616059,285.5295909152,214.722269489,158.4507225573
P0ACV0,htrB,3,113.38,35365.35059,67.8640029043,51.0962996213,55.4545964103,60.6809512828
P0ACF0,hupA,4,395.21,9511.17791,16077.9770796872,17354.1801897049,20593.1332515267,20940.1083844326
P0ACF4,hupB,4,389.23,9201.98388,8803.991800843,12387.1085275378,10183.9351329292,14143.7840723551
P37595,iaaA,2,93.55,33354.63774,29.8385245391,44.8783597993,30.7740865196,47.0690142224
P0C054,ibpA,3,164.76,15746.08541,208.7595010608,295.1938577177,131.787273459,340.7432417116
P0C058,ibpB,1,52.73,16065.15753,12.3060532481,14.5308979428,1.9913605015,11.5421656798
P0AEW4,icc ,2,130.36,30900.59204,116.5141696107,162.0101538698,161.0670289358,251.0111604793
P08200,icd ,39,3283.11,45709.4678700001,13756.0609255224,15133.8899743163,9104.3230648096,16129.678564606
P0A8S1,iciA,7,366.5,33432.49089,337.8360227975,264.0818657992,354.5217396467,274.5729890238
P16528,iclR,3,133.46,29702.3942,29.360419954,36.6278799901,15.9708262946,22.0173243791
Q46822,idi ,1,84.32,20477.22272,12.3213720464,55.4538608757,147.0251098756,155.8021460346
P0A6X7,ihfA,11,541.71,11328.95837,2574.2094279767,2658.8317660689,5938.5421239462,3456.1825172044
P0A6Y1,ihfB,6,442.97,10626.51305,3834.5357760319,3975.4664982746,9074.148516696,4619.8233360601
P00956,ileS,50,3424.52,104212.539620001,1743.2086183294,1680.0255136087,1617.468923914,1598.5883414868
P04968,ilvA,13,1043.1,56141.7210100001,417.8199341693,265.6398027883,120.3130592559,209.0925193492
P08142,ilvB,20,1411.74,60383.7731400001,1426.7948824642,1456.9649033972,100.0683651808,591.1196060577
P05793,ilvC,63,4920.65,54016.2670500001,14784.9024486628,9325.3814159339,8981.4308516755,8469.6969409651
P05791,ilvD,20,1145.3,65471.8322900002,832.7079719884,587.5571191515,418.9480050285,483.3269767367
P0AB80,ilvE,10,858.15,34054.10848,2089.5095516798,1265.8486961836,994.2970729864,1212.1760612043
P00894,ilvH,11,627.36,17947.67665,1031.3154600642,828.0044991327,924.5984211192,914.6194244128
P00893,ilvI,20,1329.62,62925.9768100001,918.232249916,685.3589834806,642.2613836865,664.9489521227
P0ADF8,ilvN,10,699.28,11080.60733,1461.3891195045,1873.8905190352,467.6781453756,787.194206561
P05827,ilvY,1,56.7,33165.28966,18.7161196376,11.0514624571,20.3839678706,19.2752071614
P69222,infA,4,293.8,8226.3118,2372.427971876,1519.4669209133,2707.186914655,1638.8255269977
P0A705,infB,7,4655.1,97272.3260200004,231.0203952875,220.1637687448,244.0423522023,224.7981281387
P0A707,infC,14,1050.65,20533.04237,3699.7238552676,3120.2701564558,4572.723385449,3206.0190171962
P0CE49,insH,3,178.24,39284.07353,72.5363132812,122.3884599356,2.2181567489,4.4688946123
P37326,intS,1,52.11,44015.08113,9.828656295,5.8081134005,0.0493684746,2.8611456517
B1VC82,IPF_,1,36.25,22440.46564,3.3790061709,15.4370819237,33.3922590406,22.1921014635
P0AAN9,iraP,2,141.43,9913.19326,887.8806548416,1528.9039866166,281.9664472387,855.1764532704
P0AAC8,iscA,3,124.32,11530.68237,426.7987970212,284.0971951479,81.6838459973,88.6357948579
P0AGK8,iscR,4,428.34,17307.89682,2203.5574799959,1650.0925962961,437.7252743155,410.2290714139
P0A6B7,iscS,39,2618.94,45042.9196900001,5500.4430386215,4054.5678987926,1276.0359790007,2631.3099358102
P0C0L9,iscX,1,73.77,7708.63154,628.6279504417,383.9363608868,677.4465997283,476.9130852204
P22939,ispA,3,137.52,32121.51571,188.8950224157,207.0887739818,172.5091718711,158.5443982238
P0AD57,ispB,5,274.27,35176.70652,314.9355659782,309.9582316124,297.3223832256,283.6741783897
Q46893,ispD,5,328.63,25703.19589,157.5064281935,166.0294085011,153.1295863744,146.3584025843
P62615,ispE,2,71.69,30887.82837,114.2907771605,140.3860413449,88.5977453382,99.5656587257
P62617,ispF,2,106.2,16868.82668,54.6398096096,123.0636201681,20.2230183509,175.121380983
P62620,ispG,16,970.24,40640.3609400001,484.314062369,402.598896728,399.2323631515,281.6221437442
P62623,ispH,6,361.58,34734.93615,201.3916563617,190.6925789827,39.854616331,135.2901870086
P0A710,ispZ,2,40.12,20758.42257,366.8091116139,255.6467034568,73.5886851154,25.785285297
P0AD59,ivy ,7,570.78,16843.30219,1029.8028221254,1055.4894804956,1277.9740402368,1148.1841087606
P21179,katE,7,521.58,84092.4239600003,124.8449961766,152.3724427652,20.5807295477,14.8766921699
P13029,katG,36,2451.69,79956.1143500004,1316.0500572334,2042.6917016623,1540.7303652627,2057.3511040715
P0AB77,kbl ,9,473.52,43071.72819,124.3720089277,200.0551875128,197.3504184717,230.8464976764
P31069,kch ,2,65.7,46015.2067100001,43.8641814774,32.2332749175,23.1287847608,22.3215765389
P37647,kdgK,7,441.1,33923.04409,192.0953396892,362.6221293851,258.9145231282,284.6429102857
P76268,kdgR,10,693.61,29992.45783,434.3247349668,474.7750936838,467.0326263036,513.1892357523
P21865,kdpD,1,88.14,98638.9449000003,6.4592893677,8.1644244979,8.002183074,6.5418898546
P0A715,kdsA,22,1473.17,30794.90121,2065.2106652452,2099.934748071,2048.2173999322,2398.6627684554
P04951,kdsB,7,447.32,27579.08508,460.6126926147,350.9392707463,516.1414522369,454.6250004579
P0ABZ4,kdsC,1,48.83,19966.50451,35.2203184627,45.3565764172,46.0745568328,42.3238475648
P45395,kdsD,9,701.54,35155.07892,497.1918874939,385.6613707318,375.1983060194,368.4904355141
P37769,kduD,1,48.28,27034.84392,20.4980035416,30.1765819781,8.7454436496,11.7202537197
P77338,kefA,8,396.48,127117.353830001,72.3061811093,47.4521768945,81.5367995796,61.2118136507
P03819,kefC,1,47.13,67734.0783600002,1.2062962771,3.2411868794,21.3439276365,2.7848367411
P0A756,kefG,4,142.55,20926.61292,72.6570300805,45.4070762483,139.3011131384,84.7154724526
P0AEX3,kgtP,4,225.9,47003.4446200001,289.0649717064,337.669017962,344.7157993632,241.2939626529
P63183,kup ,1,56.86,69231.0233600002,9.3434657071,6.9580015565,20.2713130778,10.7903614191
P02943,lamB,3,156.2,49862.5810800001,6.8517282713,39.2176304671,25.0183612668,10.4309294938
P37005,lasT,6,365.75,25225.08769,131.3257339973,90.9904607719,73.5420029577,77.4726020857
P76008,ldcA,4,223.92,33528.2494,107.5926371761,100.7416582591,105.5659892456,118.3491529447
P52095,ldcC,2,91.26,80520.3587900002,7.743389018,11.755111504,25.4856967523,15.4532935469
P52643,ldhA,10,532.83,36493.43166,647.6995127944,771.1785899545,978.8667042727,872.791431813
P60785,lepA,20,1219.3,66510.3492600001,783.439191517,708.4870523343,713.2227542455,655.9685975156
P00803,lepB,11,509.23,35919.47649,355.7438720053,361.4853037139,395.9236981996,385.9579772127
P09151,leuA,32,2356.61,57244.0913800001,2300.2679774743,2186.5336826639,543.7724596737,1410.5264151601
P30125,leuB,17,1102.96,39474.00703,3809.1933792074,3655.1369865407,1222.7305493125,2742.7406934388
P0A6A6,leuC,20,1476.29,49832.0422200001,2105.7736704895,2435.7995676795,231.9192356105,344.4886936706
P30126,leuD,8,422.9,22455.24259,1579.0044834381,1699.6460618779,194.4090125871,272.6314885526
P07813,leuS,43,2532.37,97153.2842800005,1597.8820093762,1322.3211600891,1317.0137477323,1288.1790504569
P0A7C2,lexA,7,361.68,22325.88481,270.5494199649,255.5964218427,356.3861309182,283.7048013745
P60955,lgt ,1,71.03,33068.23984,86.3348917558,77.6494970704,86.914082955,76.7250174015
P37339,lhgO,3,104.71,46034.5087200001,24.5214514359,33.4203193774,92.7415060187,82.5484453264
P15042,ligA,17,853.35,73542.2855700002,218.1751148394,201.4986547005,270.4641757575,191.9657786092
P60716,lipA,8,451.41,36030.34041,239.2635002907,350.4424167803,59.9855710122,63.6622309014
P60720,lipB,3,110.68,23849.28176,108.7426440465,64.9413458401,73.7687586189,51.0378452295
P22731,livF,10,552.64,26275.61303,575.1183026515,613.1907287799,683.8676143439,710.8680784901
P0A9S7,livG,9,564.51,28390.87056,456.9219076489,581.4570101285,594.8723777083,650.8157954014
P0AD96,livJ,25,2621.36,39033.9819,12249.2700583323,15297.0487007492,12978.8880549147,15708.3634512262
P04816,livK,19,1571.63,39335.8700500001,2448.00696489,2646.7216607538,2508.1705702453,3024.8114262045
P22729,livM,4,184.62,46221.0050100001,203.2079450007,210.2281130801,256.8722106182,233.3256440141
P33232,lldD,12,649.91,42682.9454,257.2688401722,519.5742542262,237.2991825348,459.9414503147
P23930,lnt ,4,189.19,57011.1926900001,79.9198577642,63.0600886038,55.9823542968,70.1366296484
P61316,lolA,7,423.88,22465.15845,470.0245233527,389.9235230363,640.7940569891,410.5518503604
P61320,lolB,9,495.3,23517.96895,402.9106077229,513.9310353668,354.7232660664,498.6330411435
P0ADC3,lolC,3,189.92,43217.91251,98.1802623823,71.5036218609,105.8156392393,83.4095260307
P75957,lolD,4,270.85,25404.21205,338.3354240427,338.8855450385,463.8945566247,293.8995365201
P75958,lolE,3,135.83,45297.1592700001,59.4156119158,50.8699015338,37.0440366133,69.1504185126
P0A9M0,lon ,36,2394.62,87364.8048700004,1103.5252561678,857.6259448889,938.0058917765,845.478560225
P0A9P0,lpdA,29,2402.88,50638.5834100001,6356.7361651849,7949.7417499427,6912.9763330131,9514.4254758194
P32099,lplA,4,221.57,37884.06634,126.9465794086,139.206221979,130.9119487137,146.7750033304
P45464,lpoA,19,1036.81,72761.9712300002,437.6499842507,408.6545984838,534.9038171771,509.108498831
P0AB38,lpoB,6,543.94,22483.39362,879.7201399215,1072.8527375289,1577.6276356489,1140.0223113274
P69776,lpp ,6,351.12,8300.2889,4221.3657915126,4869.6534345609,9072.5785495002,8510.9705248254
P0ADV1,lptA,4,291.71,20096.38618,523.284860551,472.8464786589,552.1096671248,428.9666093698
P0A9V1,lptB,8,612.68,26766.07681,817.7771471552,814.4045816912,1237.4277027295,948.253512004
P0ADV9,lptC,1,125.05,21671.13798,120.642825053,111.3495401932,277.0841009492,164.5993734824
P31554,lptD,28,2045.84,89597.2060100003,599.0785689793,561.9974402058,768.4939734106,597.9442072351
P0ADC1,lptE,5,313.17,21325.06865,575.9959490597,452.7060444137,917.6108740113,500.8758275507
P0AF98,lptF,5,328.46,40313.6055,293.3204742908,262.9982463804,328.9220116275,275.8554441244
P0ADC6,lptG,3,112.56,39574.75967,108.5059350273,99.9220104828,158.963853945,140.3725061248
P0A722,lpxA,5,355.56,28044.39864,492.1835340575,506.3864016717,487.344138873,565.367505044
P10441,lpxB,4,191.96,42337.17116,46.688026356,49.3526175234,45.0353995805,54.6777948274
P0A725,lpxC,8,502.97,33916.22523,179.9918475334,156.0528711341,168.3595972324,177.777243581
P21645,lpxD,10,729.31,35997.37746,961.0968770319,874.3627495692,989.3632917026,770.8346012688
P36771,lrhA,7,333.35,34553.72226,104.2448235599,241.9507545239,124.7272865474,297.7277719211
P0ACJ0,lrp ,15,727.91,18857.02597,4234.7609226665,3431.014439264,5217.1411539929,4111.0377767813
P77257,lsrA,4,171.89,55768.5244300001,44.9128136252,39.1138302966,167.9287433869,64.4137098654
P76142,lsrB,5,494.26,36643.90248,140.6786357188,900.4204655475,1273.5001108185,885.9267113691
P76143,lsrF,11,807.68,31854.09188,210.6894496779,839.8019514539,1198.7434418592,841.3853338174
P64461,lsrG,1,53.35,11229.62576,23.797813197,55.0773499516,188.0012364346,62.1218263761
P77432,lsrK,13,606.52,57490.0486700001,55.7649351869,67.4142752036,207.3167219529,108.2647713238
P75823,ltaE,8,310.04,36453.59645,107.0180141286,130.4339904577,107.7251571229,199.4390392616
P45578,luxS,9,496.29,19385.61224,2952.4976722772,1990.1038660423,2865.1478913455,2026.5554644384
P00861,lysA,10,838.46,46130.4126200001,935.8947403587,628.9371993814,279.9168782368,398.4951487307
P08660,lysC,21,1627.7,48483.4393100001,2538.9619337134,796.4504262477,687.0603744456,522.228362704
P25737,lysP,3,197.61,53522.9686100002,411.7435116643,232.6275686834,573.870396119,273.2596703179
P03030,lysR,1,107.76,34325.23234,15.2722196527,9.1576073224,20.1923270875,14.7805012851
P0A8N3,lysS,26,2535.36,57549.1281100001,1815.8386820677,1430.0379091735,1585.9924301784,1684.3801087642
P0A8N5,lysU,8,991.45,57772.1411700001,345.7157186581,238.190708695,335.6135962334,303.4963731298
P77791,maa ,2,110.4,20065.24705,47.0671592393,86.2411963737,87.2901186666,59.4639795688
P75830,macA,3,180.33,40580.9433900001,97.7284703006,101.2235175637,63.5502962207,59.0937512854
P75831,macB,4,141.77,70640.0842300003,99.7355444828,35.9807648334,71.6174344873,37.8198563627
P26616,maeA,23,1706.47,63139.2490400002,670.3867471466,831.1118516922,664.8949307773,938.2136402489
P76558,maeB,48,3482.64,82346.7829500003,1119.6075034528,3072.8415884555,1095.3078866017,3580.0225094647
P23917,mak ,6,356.18,32461.33074,254.6246911243,325.1197625464,364.2351486717,355.1903158813
P0AEX9,malE,22,1762.99,43342.36867,1171.6991859391,4200.6753518546,1951.2544829062,3640.1441096623
P02916,malF,1,89.67,56958.5929300001,24.144154144,56.9944531604,48.393630041,61.5029010497
P68187,malK,8,355.53,40946.59286,271.7246604592,373.9408233799,386.5361841606,466.8330205916
P03841,malM,8,446.13,31905.64602,279.674632252,1030.8411667057,649.8388748713,1020.6963693029
P00490,malP,29,1682.47,90447.6135800004,608.5995954528,486.3913971751,678.7756470998,484.566931469
P15977,malQ,6,405.58,78435.2377700001,108.9316533629,70.5795390623,122.7346612906,88.9758322504
P06993,malT,5,255.15,103035.89913,38.8697883839,55.3561087496,7.5868833385,6.2101530133
P23256,malY,2,86.93,43595.7040500001,14.0648015828,20.4705011779,8.1492790399,25.2669562877
P21517,malZ,3,130.37,69110.2718900001,16.8278295825,19.08367903,0.6804319082,9.5604067737
P00946,manA,13,818.07,42804.99234,719.2204359546,731.5728308813,594.658988363,904.1591270177
P69797,manX,14,883.62,35007.49034,1594.4429304634,1307.318831028,3241.7167355711,1619.5755861643
P69801,manY,2,115.51,27599.68299,561.439089945,394.3509812405,2623.7690789104,914.6412267454
P69805,manZ,9,436.4,31264.58442,562.9623597612,518.206567362,1498.4995621428,599.0822971259
P0AE18,map ,18,1198.54,29293.90197,1682.1578884526,1353.8822025797,1409.3292851854,1285.6386086972
P0AE70,mazF,1,41.69,12072.17366,31.341627709,40.6109155017,12.7311400672,54.7011462681
P0AEY3,mazG,2,128.44,30375.18521,34.8928606481,19.1671502222,7.5305310856,12.3695204796
P76114,mcbR,1,42.29,25117.27524,8.2812456175,11.4792889857,70.683796135,17.6341756984
P0AEY5,mdaB,8,441.05,21858.93304,397.1913714226,386.1928045402,119.905171654,162.4628496116
P61889,mdh ,26,2505.79,32299.20422,13661.3590101846,21627.7824984819,9143.0472119698,21521.7205512188
P39401,mdoB,9,452.56,85422.5475700005,114.2570214288,130.1392889406,64.8694364856,103.3424115421
P40120,mdoD,11,479.87,62699.5893200001,123.4621865783,140.1440122702,86.8167483147,120.6031784951
P33136,mdoG,23,1563.11,57858.1170600002,1047.844204202,1001.7228402256,1085.983039142,1178.5161292938
P62517,mdoH,10,595.18,96856.9425600004,187.0905057522,189.202045901,236.886634603,190.2665126143
P76397,mdtA,2,114.1,44419.3535100001,31.6167691801,55.9223069976,69.1113193945,91.3796526767
P06720,melA,1,46.07,50606.2338900001,8.0386000981,30.3670107126,0.0484538266,23.7542045384
P0ABU0,menB,12,611.16,31594.51617,559.8905544368,594.4044441639,647.4846758832,499.7228942702
P37353,menE,1,47.02,50134.8816700001,11.3292639373,12.8089956079,0.2972324991,7.8742467824
P38051,menF,1,36.77,48716.0877200001,5.4447126494,10.4621233516,2.8770586082,10.298250895
P0C0T5,mepA,1,41.29,30099.43575,41.0915456057,22.6211565524,45.5669232248,21.7204692033
P07623,metA,13,852.22,35686.96076,1385.6175463676,1065.7900830173,334.4433370991,720.6137840842
P00935,metB,10,722.97,41506.4841900001,980.0553686936,657.8648991937,722.0052086169,686.1744235215
P06721,metC,11,1021.79,43167.0094100001,1151.2943816106,937.8081393459,798.0930756742,980.4112498637
P25665,metE,58,4982.54,84602.8090500003,20656.9993620665,11985.2646860935,3504.1147760278,7173.5604720096
P0AEZ1,metF,23,1576.05,33063.77233,2509.0881946177,1610.3118851901,1011.5525041722,1383.9322843775
P00959,metG,34,2172.93,76188.1004100002,1436.9918885016,1025.6907871634,1037.0840341851,932.5051625052
P13009,metH,47,3090.09,135893.612450001,651.7599278276,485.5442520583,370.3777425584,425.5620704924
