bnumber	description	gene name	GLC_BATCH_mu=0.58_S	LB_BATCH_mu=1.9_S	GLYC+AA_BATCH_mu=1.27_S	ACE_BATCH_mu=0.3_S	FUM_BATCH_mu=0.42_S	GAM_BATCH_mu=0.46_S	GLYC_BATCH_mu=0.47_S	PYR_BATCH_mu=0.40_S	GLC_CHEM_mu=0.50_S	GLC_CHEM_mu=0.35_S	GLC_CHEM_mu=0.20_S	GLC_CHEM_mu=0.12_S	Stationary phase 1 day	Stationary phase 3 days	GLC+SALTS_BATCH_mu=0.55_S	GLC@42deg_BATCH_mu=0.66_S	GLC@pH6_BATCH_mu=0.63_S	XYL_BATCH_mu=0.55_S	MAN_BATCH_mu=0.47_S	GAL_BATCH_mu=0.26_S	SUCC_BATCH_mu=0.44_S	FRU_BATCH_mu=0.65_S
b1280	Uncharacterized protein yciM OS=Escherichia coli (strain K12) GN=yciM PE=4 SV=1	yciM	0.001	0.00132		0.000578	0.000297	0.00114	0.00108	0.00102	0.000946	0.000845	0.000333	0.000509	0.0000985	0.000262	0.000644	0.000361	0.000619			0.000259	0.000839	
b1281	Orotidine 5'-phosphate decarboxylase OS=Escherichia coli (strain K12) GN=pyrF PE=1 SV=1	pyrF	0.0658	0.0444	0.0396	0.0256	0.0449	0.0516	0.0541	0.0414	0.0359	0.0206	0.0139	0.0124	0.0437	0.0374	0.0816	0.0719	0.0702	0.0587	0.0422	0.0341	0.0548	0.0663
b1282	Uncharacterized protein yciH OS=Escherichia coli (strain K12) GN=yciH PE=1 SV=1	yciH	0.00192	0.00202	0.00211	0.000824	0.00129	0.00164	0.00153	0.00127	0.00122	0.0007	0.000629	0.000696	0.0011	0.000953	0.0021	0.00139	0.00263	0.00121	0.00102	0.00105	0.00154	0.00149
b1283	Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1	osmB	0.0469	0.0112	0.012	0.0744	0.0298	0.0801	0.0266	0.0291	0.0219	0.0225	0.0299	0.0476	0.23	0.239	0.0864	0.0989	0.0936	0.109	0.0392	0.0382	0.019	0.0238
b1284	Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1	yciT	0.00376	0.00477	0.00298	0.00334	0.00362	0.0048	0.00356	0.00423	0.00335	0.00384	0.00327	0.00312	0.0045	0.00234	0.00553	0.00783	0.00624	0.00472	0.004	0.00353	0.00369	0.00454
b1286	Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3	rnb	0.152	0.147	0.11	0.0737	0.0889	0.102	0.109	0.102	0.109	0.0719	0.0546	0.0444	0.0654	0.0594	0.107	0.149	0.152	0.132	0.0945	0.0578	0.113	0.16
b1287	Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2	yciW	0.00492	0.000548	0.00183	0.00478	0.0051	0.00639	0.00486	0.00467	0.00419	0.00294	0.00217	0.00153	0.0000995	0.000189	0.00259	0.0015	0.00818	0.00261	0.00405	0.00388	0.00524	0.00525
b1288	Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Escherichia coli (strain K12) GN=fabI PE=1 SV=2	fabI	0.232	0.434	0.335	0.134	0.183	0.186	0.177	0.185	0.177	0.142	0.117	0.113	0.114	0.0952	0.15	0.185	0.181	0.144	0.12	0.107	0.158	0.166
b1290	Peptide transport system ATP-binding protein SapF OS=Escherichia coli (strain K12) GN=sapF PE=1 SV=1	sapF	0.00151	0.00321		0.000622	0.00274	0.00129	0.00145	0.000103	0.000623	0.000883	0.000314	0.000295	0.000467	0.000599	0.00537	0.00233	0.000751			0.000671	0.000746	
b1291	Peptide transport system ATP-binding protein SapD OS=Escherichia coli (strain K12) GN=sapD PE=3 SV=1	sapD	0.00146	0.00147		0.00012	0.000801	0.000424	0.000613	0.000443	0.000474	0.000575	0.0000351	0.000178	0.0000203	0.0000759	0.000684	0.000965	0.000323			0.00017	0.000438	
b1294	Peptide transport periplasmic protein sapA OS=Escherichia coli (strain K12) GN=sapA PE=3 SV=1	sapA	0.00201	0.00427	0.00238	0.00147	0.00161	0.00194	0.00156	0.0019	0.00215	0.00159	0.00151	0.00173	0.00211	0.000774	0.00214	0.00207	0.00163	0.00373	0.00172	0.0016	0.00119	0.00162
b1295	Uncharacterized protein ymjA OS=Escherichia coli (strain K12) GN=ymjA PE=4 SV=1	ymjA	0.0047	0.0027	0.00366	0.00485	0.00494	0.00403	0.00425	0.00529	0.00399	0.00384	0.00324	0.00284	0.00208	0.00262	0.00854	0.00438	0.00925	0.00515	0.00418	0.00526	0.00525	0.00467
b1297	Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=1	puuA	0.0108	0.0084	0.0133	0.0249	0.0128	0.0212	0.00744	0.00539	0.027	0.0459	0.0445	0.0367	0.00282	0.00356	0.00701	0.00629	0.00352	0.00551	0.013	0.0223	0.00861	0.00838
b1298	Gamma-glutamyl-gamma-aminobutyrate hydrolase OS=Escherichia coli (strain K12) GN=puuD PE=4 SV=1	puuD	0.00529	0.0014	0.00296	0.00199	0.00292	0.00726	0.00163	0.00156	0.00996	0.0194	0.0114	0.00424	0.000449	0.000264	0.00363	0.000748	0.00046	0.00135	0.00541	0.000936	0.00165	0.00218
b1299	HTH-type transcriptional regulator puuR OS=Escherichia coli (strain K12) GN=puuR PE=1 SV=1	puuR	0.0037	0.00497	0.00567	0.00233	0.00399	0.0067	0.003	0.00262	0.00511	0.00743	0.00442	0.00262	0.000714	0.000357	0.00396	0.00382	0.00281	0.00525	0.00712	0.00295	0.00402	0.00676
b1300	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2	puuC	0.0102	0.0038	0.00543	0.00248	0.00449	0.0149	0.00641	0.00517	0.0346	0.0505	0.0203	0.0038	0.000478	0.00089	0.00592	0.00209	0.00204	0.0084	0.0327	0.00241	0.00619	0.0147
b1302	Gamma-aminobutyrate aminotransferase OS=Escherichia coli (strain K12) GN=puuE PE=3 SV=1	puuE	0.00307	0.000576	0.00138	0.00033	0.00131	0.00358	0.00168	0.0016	0.00579	0.00973	0.00369	0.00147	0.0198	0.00132	0.00162	0.00384	0.00116	0.00237	0.00652	0.00327	0.00148	0.00499
b1303	Psp operon transcriptional activator OS=Escherichia coli (strain K12) GN=pspF PE=1 SV=2	pspF	0.00135	0.00105	0.000847	0.000757	0.00103	0.000926	0.000892	0.00118	0.000951	0.000908	0.000796	0.000753	0.000715	0.000608	0.00076	0.00115	0.00107	0.00107	0.00118	0.000762	0.00112	0.00105
b1304	Phage shock protein A OS=Escherichia coli (strain K12) GN=pspA PE=1 SV=2	pspA	0.0395	0.0316	0.0291	0.034	0.0328	0.0298	0.0581	0.0468	0.0313	0.0267	0.0218	0.0182	0.0224	0.0209	0.0296	0.0417	0.0327	0.0375	0.0411	0.0263	0.0358	0.049
b1305	Phage shock protein B OS=Escherichia coli (strain K12) GN=pspB PE=1 SV=1	pspB	0.00461	0.00323	0.00258	0.00308	0.00273	0.00254	0.0036	0.00508	0.00202	0.00236	0.00243	0.00144	0.00107	0.0032	0.00256	0.00537	0.00433	0.00638	0.00466	0.00185	0.00349	0.0054
b1308	Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) GN=pspE PE=1 SV=1	pspE	0.00221	0.0295	0.0285	0.00669	0.00846	0.00444	0.00541	0.00832	0.00536	0.00515	0.00227	0.00194	0.00151	0.00129	0.0026	0.000719	0.00214	0.00234	0.00924	0.00204	0.00643	0.00297
b1320	Uncharacterized HTH-type transcriptional regulator ycjW OS=Escherichia coli (strain K12) GN=ycjW PE=1 SV=1	ycjW	0.00176	0.00287	0.0022	0.00212	0.00232	0.00149	0.00177	0.00226	0.00156	0.00153	0.00149	0.00144	0.000736	0.000751	0.00207	0.00172	0.00136	0.00194	0.00275	0.00191	0.00269	0.00262
b1321	Uncharacterized protein ycjX OS=Escherichia coli (strain K12) GN=ycjX PE=1 SV=1	ycjX	0.00268	0.00492	0.00231	0.00141	0.00246	0.0017	0.00297	0.00191	0.002	0.0014	0.00115	0.00151	0.000783	0.00117	0.000438	0.00465	0.00211	0.00162	0.00165	0.000783	0.00165	0.00129
b1322	UPF0283 membrane protein ycjF OS=Escherichia coli (strain K12) GN=ycjF PE=1 SV=1	ycjF	0.00126	0.00225	0.00191	0.00139	0.00199	0.00194	0.00195	0.00152	0.00264	0.0026	0.00252	0.00255	0.000169	0.0017	0.00139	0.00503	0.00189	0.00208	0.0023	0.00198	0.00198	0.00192
b1323	Transcriptional regulatory protein tyrR OS=Escherichia coli (strain K12) GN=tyrR PE=1 SV=2	tyrR	0.0127	0.0215	0.0137	0.00731	0.0114	0.0129	0.0147	0.0127	0.0213	0.0157	0.0145	0.0135	0.00592	0.00556	0.0116	0.0127	0.0136	0.0134	0.00931	0.00918	0.00771	0.0126
b1324	Thiol peroxidase OS=Escherichia coli (strain K12) GN=tpx PE=1 SV=2	tpx	0.73	0.854	1.03	0.517	0.62	0.707	0.693	0.72	0.768	0.641	0.583	0.44	0.783	0.751	1.25	1.03	1.09	0.954	0.708	0.721	0.788	0.858
b1325	L-Ala-D/L-Glu epimerase OS=Escherichia coli (strain K12) GN=ycjG PE=1 SV=2	ycjG	0.00589	0.00354		0.00815	0.00778	0.0117	0.00554	0.00539	0.00701	0.00801	0.0107	0.0088	0.00133	0.00321	0.00386	0.00422	0.00531			0.00667	0.00528	
b1326	Protein mpaA OS=Escherichia coli (strain K12) GN=mpaA PE=4 SV=2	mpaA	0.00039	0.00065	0.00171	0.00137	0.00129	0.00144	0.00149	0.00102	0.00232	0.00308	0.00304	0.00291	0.00139	0.0023	0.00302	0.000543	0.00267	0.00193	0.0000848	0.0045	0.00118	0.000851
b1327	Uncharacterized protein ycjY OS=Escherichia coli (strain K12) GN=ycjY PE=1 SV=2	ycjY	0.00268	0.00232		0.000561	0.00283	0.00192	0.00223	0.00081	0.00136	0.00292	0.00187	0.00364	0.00175	0.00176	0.000814	0.00268	0.00137			0.00139	0.00177	
b1329	Periplasmic murein peptide-binding protein OS=Escherichia coli (strain K12) GN=mppA PE=1 SV=2	mppA	0.0067	0.025	0.0145	0.00718	0.013	0.00975	0.00945	0.00929	0.00944	0.0114	0.0116	0.01	0.00493	0.00605	0.00599	0.00498	0.00701	0.00675	0.00997	0.0084	0.0104	0.00767
b1330	MscS family inner membrane protein ynaI OS=Escherichia coli (strain K12) GN=ynaI PE=1 SV=1	ynaI	0.000151	0.000234	0.000236	0.00017	0.00021	0.00036	0.000118	0.000283	0.000552	0.000428	0.000356	0.000341	0.000000378	0.0000322	0.00027	0.000365	0.000255	0.000285	0.000156	0.000116	0.000253	0.000225
b1333	Universal stress protein E OS=Escherichia coli (strain K12) GN=uspE PE=1 SV=2	uspE	0.0856	0.0968	0.0658	0.0884	0.0868	0.0958	0.0978	0.103	0.089	0.0904	0.105	0.114	0.114	0.107	0.0967	0.095	0.113	0.0901	0.0988	0.108	0.0621	0.0825
b1334	Fumarate and nitrate reduction regulatory protein OS=Escherichia coli (strain K12) GN=fnr PE=1 SV=1	fnr	0.0282	0.0511	0.0394	0.0151	0.0207	0.0281	0.0291	0.0185	0.023	0.0173	0.0146	0.00919	0.00455	0.00444	0.0146	0.0177	0.0179	0.0284	0.0256	0.0178	0.0354	0.032
b1335	Methylated-DNA--protein-cysteine methyltransferase OS=Escherichia coli (strain K12) GN=ogt PE=1 SV=1	ogt	0.0018	0.00134		0.000693	0.00106	0.00116	0.00158	0.00158	0.00155	0.0017	0.000179	0.000668	0.000786	0.00131	0.000191	0.00239	0.000871			0.000788	0.00112	
b1340	Uncharacterized protein ydaL OS=Escherichia coli (strain K12) GN=ydaL PE=4 SV=1	ydaL	0.00202	0.00412		0.000934	0.00278	0.00182	0.00175	0.00145	0.00166	0.00184	0.00355	0.000732	0.00288	0.00095	0.00163	0.00255	0.00145			0.000757	0.00167	
b1341	Probable diguanylate cyclase YdaM OS=Escherichia coli (strain K12) GN=ydaM PE=1 SV=2	ydaM	0.000263	0.00132	0.00051	0.000936	0.0011	0.00133	0.00105	0.000235	0.00203	0.00173	0.000829	0.00045	0.000854	0.000579	0.00124	0.000258	0.000986	0.000795	0.00108	0.000858	0.00174	0.000866
b1342	Zinc transport protein ZntB OS=Escherichia coli (strain K12) GN=zntB PE=1 SV=1	zntB	0.000539	0.00183	0.000905	0.000707	0.000731	0.00106	0.00103	0.000394	0.00127	0.00108	0.00109	0.00092	0.0016	0.00139	0.00122	0.00175	0.00195	0.00122	0.00073	0.000769	0.000608	0.00117
b1343	ATP-independent RNA helicase dbpA OS=Escherichia coli (strain K12) GN=dbpA PE=1 SV=2	dbpA	0.000791	0.00227		0.0000474	0.000183	0.000105	0.000218	0.0000966	0.0000639	0.0000399	0.000181	0.0000199	0.0000138	0.0000446	0.000235	0.000951	0.000673			0.0000233	0.000215	
b1344	tRNA 2-thiocytidine biosynthesis protein TtcA OS=Escherichia coli (strain K12) GN=ttcA PE=1 SV=1	ttcA	0.00459	0.012	0.00689	0.00112	0.00163	0.00147	0.00223	0.00111	0.00129	0.000747	0.000599	0.000727	0.000493	0.000317	0.00096	0.00188	0.000637	0.000976	0.00111	0.00022	0.00177	0.00212
b1356	Rac prophage repressor OS=Escherichia coli (strain K12) GN=racR PE=4 SV=1	racR	0.00487	0.00316	0.00125	0.00236	0.00251	0.00271	0.00194	0.00213	0.00164	0.002	0.00218	0.00075	0.00104	0.0011	0.00283	0.00126	0.00188	0.00276	0.00261	0.00151	0.00172	0.00126
b1375	Uncharacterized protein ynaE OS=Escherichia coli (strain K12) GN=ynaE PE=4 SV=1	ynaE	0.000523	0.000152		0.000139	0.000375	0.000316	0.000069	0.000217	0.00015	0.000538	0.000417	0.000292	0.000406	0.000463	0.000286	0.000552	0.000683			0.000165	0.000122	
b1376	Universal stress protein F OS=Escherichia coli (strain K12) GN=uspF PE=1 SV=2	uspF	0.0366	0.08	0.0438	0.0849	0.119	0.105	0.0891	0.125	0.106	0.154	0.18	0.185	0.103	0.127	0.0426	0.0473	0.0287	0.0472	0.127	0.135	0.108	0.0588
b1378	Probable pyruvate-flavodoxin oxidoreductase OS=Escherichia coli (strain K12) GN=ydbK PE=3 SV=2	ydbK	0.014	0.0421	0.0186	0.0101	0.0106	0.0202	0.0129	0.00869	0.0133	0.0125	0.014	0.0193	0.00723	0.00868	0.0115	0.0148	0.0208	0.011	0.0109	0.00835	0.0139	0.0177
b1379	Heat shock protein hslJ OS=Escherichia coli (strain K12) GN=hslJ PE=1 SV=1	hslJ	0.000614	0.00236	0.000327	0.000479	0.000237	0.000284	0.000412	0.00127	0.000231	0.000341	0.000239	0.000272	0.00393	0.00187	0.00204	0.00348	0.00375	0.00164	0.000302	0.000497	0.000292	0.000323
b1380	D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=ldhA PE=1 SV=1	ldhA	0.0343	0.0375	0.0255	0.0221	0.0231	0.0291	0.0314	0.0331	0.0388	0.0344	0.0339	0.0359	0.039	0.0222	0.0181	0.0351	0.0361	0.0211	0.0218	0.0167	0.0139	0.0111
b1382	Uncharacterized protein ynbE OS=Escherichia coli (strain K12) GN=ynbE PE=4 SV=1	ynbE	0.000942	0.00118	0.00135	0.000517	0.000835	0.00112	0.00099	0.000886	0.000801	0.000717	0.000567	0.000593	0.000691	0.000527	0.00148	0.00083	0.00151	0.00112	0.000858	0.000765	0.000939	0.00164
b1383	Uncharacterized protein ydbL OS=Escherichia coli (strain K12) GN=ydbL PE=4 SV=2	ydbL	0.00017	0.000322	0.000275	0.0000849	0.000164	0.000139	0.000147	0.000177	0.000176	0.000129	0.0000969	0.0000752	0.0000338	0.0000212	0.000384	0.000263	0.000197	0.000217	0.000189	0.000137	0.000197	0.000156
b1384	Transcriptional activator feaR OS=Escherichia coli (strain K12) GN=feaR PE=1 SV=1	feaR	0.000207	0.000153		0.00000258	0.000454	0.0000524	0.0000276	0.0000163	0.0000207	0.00000962	0.000024	0.00000162	0.0000197	0.00000211	0.00000188	0.000185	0.00000826			0.0000121	0.000245	
b1385	Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2	feaB	0.000674	0.000846	0.00106	0.00202	0.00356	0.00168	0.00207	0.00193	0.00288	0.00379	0.0039	0.0056	0.000754	0.00115	0.000861	0.0014	0.000512	0.00177	0.00354	0.00361	0.00266	0.00196
b1389	Phenylacetic acid degradation protein paaB OS=Escherichia coli (strain K12) GN=paaB PE=2 SV=1	paaB	0.000000447	0.00216	0.000000605	0.000000359	0.000000397	0.000000405	0.000000412	0.00000374	0.000000422	0.000000375	0.000000325	0.000000295	0.0000322	0.0000188	0.000000441	0.0000143	0.0000297	0.000000437	0.000000414	0.00000157	0.000000403	0.00000867
b1390	Phenylacetic acid degradation protein paaC OS=Escherichia coli (strain K12) GN=paaC PE=1 SV=1	paaC	0.0000287	0.000105	0.0000355	0.0000236	0.0000252	0.0000299	0.0000306	0.0000866	0.0000688	0.00000888	0.0000696	0.000171	0.0000594	0.000021	0.0000638	0.000000584	0.0000616	0.000000538	0.00000984	0.000000435	0.0000413	0.000000571
b1392	Probable phenylacetic acid degradation NADH oxidoreductase paaE OS=Escherichia coli (strain K12) GN=paaE PE=2 SV=1	paaE	0.00000054	0.000974	0.000000724	0.000000426	0.000000469	0.000000485	0.000000495	0.000000466	0.000000498	0.000000439	0.00000038	0.000000351	0.0000003	0.000000296	0.000000517	0.0000017	0.000000547	0.000000522	0.000000495	0.000000411	0.00000404	0.000000549
b1397	Beta-ketoadipyl-CoA thiolase OS=Escherichia coli (strain K12) GN=paaJ PE=1 SV=1	paaJ	0.00123	0.00248	0.00217	0.000917	0.000866	0.000769	0.000871	0.000673	0.000577	0.000446	0.000474	0.000353	0.0000338	0.0000404	0.000528	0.0000808	0.000869	0.000631	0.000309	0.00041	0.000374	0.000702
b1398	Phenylacetate-coenzyme A ligase OS=Escherichia coli (strain K12) GN=paaK PE=1 SV=1	paaK	0.000000669	0.000433	0.000000904	0.000000535	0.000000588	0.000000613	0.000000612	0.000000578	0.000000629	0.000000551	0.000000476	0.000000441	0.000000373	0.00000037	0.000000644	0.000000698	0.000000678	0.000000649	0.000000622	0.000000506	0.000000598	0.00000069
b1399	Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1	paaX	0.000647	0.00187	0.00179	0.00149	0.00212	0.00114	0.00106	0.00151	0.00274	0.00408	0.00378	0.00375	0.00017	0.000402	0.000514	0.00105	0.000744	0.000636	0.00167	0.0023	0.00232	0.00192
b1400	Phenylacetic acid degradation protein paaY OS=Escherichia coli (strain K12) GN=paaY PE=3 SV=1	paaY	0.000262	0.00047	0.000674	0.00047	0.000712	0.000553	0.000379	0.000367	0.000419	0.000567	0.000514	0.000776	0.000157	0.000218	0.000604	0.00062	0.000408	0.000512	0.000798	0.00111	0.000932	0.000558
b1406	Putative oxidoreductase YdbC OS=Escherichia coli (strain K12) GN=ydbC PE=1 SV=1	ydbC	0.0211	0.0175	0.0211	0.0482	0.0438	0.0377	0.0307	0.0284	0.0351	0.0445	0.0466	0.0719	0.0448	0.0495	0.0301	0.0113	0.0323	0.0166	0.034	0.045	0.0295	0.0175
b1412	FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) GN=azoR PE=1 SV=3	azoR	0.0288	0.0161	0.0173	0.0225	0.0366	0.0183	0.027	0.0148	0.0263	0.0159	0.00991	0.00558	0.0026	0.00287	0.0493	0.0509	0.0343	0.0608	0.0353	0.0149	0.029	0.0401
b1413	ATP-dependent RNA helicase hrpA OS=Escherichia coli (strain K12) GN=hrpA PE=3 SV=3	hrpA	0.00783	0.0148	0.0103	0.00499	0.00511	0.00801	0.00567	0.00585	0.0091	0.00702	0.00681	0.00593	0.00284	0.0038	0.00396	0.00905	0.00579	0.00643	0.00633	0.00447	0.00585	0.0092
b1414	Protein ydcF OS=Escherichia coli (strain K12) GN=ydcF PE=1 SV=3	ydcF	0.0118	0.00639	0.00647	0.00979	0.0102	0.00926	0.0104	0.0146	0.00892	0.00865	0.0103	0.0114	0.00415	0.00486	0.0133	0.0129	0.0102	0.0114	0.0133	0.0152	0.0083	0.011
b1415	Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2	aldA	0.304	0.974	0.944	1.49	2.5	1.49	1.42	2.37	1.65	2.69	3.1	3.18	0.162	0.162	0.156	0.146	0.162	0.52	2.65	2.48	2.35	0.823
b1421	Methyl-accepting chemotaxis protein III OS=Escherichia coli (strain K12) GN=trg PE=1 SV=3	trg	0.0000188	0.000000688	0.000000909	0.0000113	0.0000246	0.0000529	0.00000906	0.0000119	0.000122	0.000579	0.000189	0.00000932	0.0000767	0.0000216	0.00000829	0.0000862	0.00000969	0.0000166	0.00000625	0.0000138	0.0000603	0.0000733
b1422	Uncharacterized HTH-type transcriptional regulator ydcI OS=Escherichia coli (strain K12) GN=ydcI PE=4 SV=2	ydcI	0.00736	0.0148	0.0191	0.0133	0.0147	0.0136	0.00787	0.0138	0.0147	0.015	0.0108	0.00966	0.00033	0.000292	0.0046	0.00281	0.00451	0.0093	0.0133	0.00648	0.0125	0.00888
b1423	Uncharacterized protein ydcJ OS=Escherichia coli (strain K12) GN=ydcJ PE=4 SV=1	ydcJ	0.0036	0.00518	0.00557	0.00464	0.0107	0.00524	0.0071	0.00422	0.00571	0.00666	0.00902	0.0121	0.0062	0.00501	0.00347	0.00414	0.00506	0.00313	0.00501	0.00833	0.00553	0.0037
b1424	Glucans biosynthesis protein D OS=Escherichia coli (strain K12) GN=mdoD PE=1 SV=3	mdoD	0.0097	0.0104	0.0114	0.00579	0.0088	0.0071	0.00977	0.00895	0.00502	0.00505	0.00447	0.0038	0.0024	0.00164	0.00219	0.00533	0.00316	0.00563	0.00713	0.00399	0.00682	0.00754
b1426	Uncharacterized protein ydcH OS=Escherichia coli (strain K12) GN=ydcH PE=4 SV=2	ydcH	0.0000111	0.00065	0.000032	0.000602	0.000181	0.0000214	0.000088	0.0000797	0.0000978	0.000215	0.000493	0.000134	0.00034	0.000749	0.0000321	0.0000416	0.00000869	0.000124	0.000272	0.000311	0.000256	0.000176
b1427	Ribosomal-protein-serine acetyltransferase OS=Escherichia coli (strain K12) GN=rimL PE=1 SV=1	rimL	0.00255	0.00224	0.00105	0.00392	0.00413	0.00325	0.00333	0.00315	0.00365	0.00419	0.00392	0.00451	0.00109	0.0011	0.00274	0.00243	0.00267	0.0019	0.00399	0.00326	0.00356	0.00213
b1430	Tellurite resistance protein TehB OS=Escherichia coli (strain K12) GN=tehB PE=1 SV=1	tehB	0.00838	0.00881	0.0085	0.00648	0.0061	0.00691	0.00605	0.00547	0.0062	0.00588	0.00471	0.00357	0.021	0.0159	0.0323	0.0118	0.0128	0.0106	0.00612	0.00549	0.00576	0.00746
b1431	Uncharacterized lipoprotein ydcL OS=Escherichia coli (strain K12) GN=ydcL PE=4 SV=1	ydcL	0.0595	0.052	0.0474	0.0533	0.0857	0.0958	0.0868	0.0526	0.0622	0.079	0.0857	0.0971	0.085	0.0966	0.0708	0.0564	0.105	0.0519	0.0804	0.127	0.0751	0.0602
b1434	Uncharacterized HTH-type transcriptional regulator ydcN OS=Escherichia coli (strain K12) GN=ydcN PE=4 SV=1	ydcN	0.000478	0.000285		0.000277	0.000857	0.000445	0.000266	0.000197	0.0004	0.000623	0.0000292	0.0000602	0.0000697	0.000011	0.000162	0.000127	0.000271			0.000213	0.000475	
b1435	Uncharacterized protease ydcP OS=Escherichia coli (strain K12) GN=ydcP PE=1 SV=2	ydcP	0.00328	0.00741		0.000169	0.00129	0.000716	0.00108	0.000454	0.000347	0.000316	0.000973	0.000502	0.000272	0.000528	0.00145	0.00329	0.0008			0.000124	0.00144	
b1438	Antitoxin HicB OS=Escherichia coli (strain K12) GN=hicB PE=1 SV=2	hicB	0.00479	0.000172	0.000143	0.00155	0.00218	0.00244	0.00298	0.00281	0.00181	0.00165	0.00277	0.00336	0.00196	0.00151	0.00323	0.00448	0.00252	0.00188	0.00263	0.00205	0.00217	0.00315
b1440	Putative ABC transporter periplasmic-binding protein ydcS OS=Escherichia coli (strain K12) GN=ydcS PE=3 SV=1	ydcS	0.00578	0.0163	0.0224	0.0204	0.0413	0.0334	0.0223	0.0185	0.0274	0.0541	0.0705	0.101	0.0411	0.0487	0.00333	0.0029	0.00394	0.00419	0.0254	0.0563	0.0209	0.00647
b1441	Uncharacterized ABC transporter ATP-binding protein YdcT OS=Escherichia coli (strain K12) GN=ydcT PE=3 SV=1	ydcT	0.00147	0.00234	0.00196	0.00136	0.00376	0.00207	0.00251	0.00169	0.00229	0.00414	0.00511	0.00753	0.00142	0.000874	0.000652	0.00168	0.000892	0.00108	0.00215	0.00249	0.00233	0.0012
b1444	Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=prr PE=1 SV=1	prr	0.0264	0.0652	0.0617	0.0433	0.2	0.078	0.107	0.0998	0.0822	0.146	0.194	0.211	0.0224	0.02	0.0529	0.0267	0.0177	0.0255	0.0992	0.172	0.161	0.0274
b1446	Uncharacterized protein ydcY OS=Escherichia coli (strain K12) GN=ydcY PE=4 SV=1	ydcY	0.00554	0.00777	0.0059	0.00332	0.00336	0.00354	0.00401	0.00336	0.00336	0.00277	0.00259	0.00226	0.000702	0.00345	0.0106	0.01	0.0114	0.00668	0.00358	0.0031	0.00336	0.00529
b1448	Uncharacterized N-acetyltransferase YncA OS=Escherichia coli (strain K12) GN=yncA PE=3 SV=1	mnaT	0.00241	0.000529	0.00027	0.00157	0.00147	0.00127	0.0018	0.00154	0.00121	0.000844	0.000904	0.000855	0.0012	0.00129	0.00347	0.00248	0.00386	0.00234	0.0018	0.00119	0.00127	0.00215
b1449	Putative NADP-dependent oxidoreductase yncB OS=Escherichia coli (strain K12) GN=yncB PE=3 SV=3	curA	0.0413	0.0237	0.0329	0.0428	0.0447	0.0465	0.0434	0.03	0.0315	0.0353	0.0466	0.0636	0.0511	0.0482	0.059	0.0275	0.068	0.0278	0.0414	0.0639	0.0307	0.0276
b1451	Probable tonB-dependent receptor yncD OS=Escherichia coli (strain K12) GN=yncD PE=3 SV=1	yncD	0.000754	0.00526	0.000486	0.000206	0.000296	0.000302	0.000272	0.000231	0.000506	0.000501	0.00013	0.000406	0.000409	0.000341	0.000101	0.000228	0.000513	0.000209	0.000618	0.000346	0.000728	0.000248
b1452	Uncharacterized protein YncE OS=Escherichia coli (strain K12) GN=yncE PE=1 SV=1	yncE	0.222	0.125	0.333	0.109	0.176	0.188	0.192	0.207	0.139	0.0963	0.0601	0.0408	0.394	0.385	0.843	0.262	0.323	0.509	0.183	0.0969	0.205	0.262
b1461	Tautomerase pptA OS=Escherichia coli (strain K12) GN=pptA PE=1 SV=3	pptA	0.00371	0.00168		0.00285	0.000827	0.00259	0.00284	0.00426	0.0034	0.00207	0.00299	0.00147	0.000172	0.000109	0.00315	0.00198	0.00265			0.000898	0.00257	
b1462	Uncharacterized protein yddH OS=Escherichia coli (strain K12) GN=yddH PE=3 SV=2	yddH	0.000338	0.000108	0.000185	0.000804	0.0000567	0.000176	0.0000508	0.0000396	0.000378	0.000302	0.000832	0.00107	0.000000211	0.0000198	0.0000741	0.000135	0.0000486	0.000000368	0.0000715	0.0000264	0.00000922	0.00000112
b1464	Uncharacterized isomerase yddE OS=Escherichia coli (strain K12) GN=yddE PE=1 SV=2	yddE	0.00681	0.00526	0.00421	0.00337	0.00494	0.00561	0.00631	0.00478	0.00371	0.00388	0.00358	0.00353	0.00279	0.00297	0.00822	0.00376	0.00567	0.00784	0.00514	0.00457	0.00457	0.004
